Fecha;Lat;Lon
2019-02-27 16:48:00;43.39817;-9.03833
2019-02-27 17:03:00;43.39933;-9.03467
2019-02-27 17:18:00;43.40033;-9.031
2019-02-27 17:33:00;43.40133;-9.02683
2019-02-27 17:48:00;43.40233;-9.02267
2019-02-27 18:04:00;43.40333;-9.01867
2019-02-27 18:19:00;43.40417;-9.015
2019-02-27 18:34:00;43.40483;-9.011
2019-02-27 18:50:00;43.4055;-9.00733
2019-02-27 19:05:00;43.406;-9.0035
2019-02-27 19:20:00;43.40633;-9.0
2019-02-27 19:35:00;43.40683;-8.9965
2019-02-27 19:50:00;43.40733;-8.99317
2019-02-27 20:06:00;43.40733;-8.9895
2019-02-27 20:21:00;43.40767;-8.98667
2019-02-27 20:37:00;43.40767;-8.984
2019-02-27 20:52:00;43.40783;-8.98167
2019-02-27 21:07:00;43.40783;-8.97933
2019-02-27 21:23:00;43.40783;-8.97733
2019-02-27 21:38:00;43.40817;-8.9755
2019-02-27 21:53:00;43.40867;-8.974
2019-02-27 22:09:00;43.409;-8.97233
2019-02-27 22:24:00;43.40933;-8.971
2019-02-27 22:39:00;43.40983;-8.96983
2019-02-27 22:54:00;43.41017;-8.9685
2019-02-27 23:09:00;43.41067;-8.9675
2019-02-27 23:24:00;43.41117;-8.96667
2019-02-27 23:39:00;43.41167;-8.96567
2019-02-27 23:54:00;43.41233;-8.96483
2019-02-28 0:10:00;43.41317;-8.964
2019-02-28 0:25:00;43.414;-8.96317
2019-02-28 0:40:00;43.41483;-8.9625
2019-02-28 0:55:00;43.41583;-8.96183
2019-02-28 1:10:00;43.41683;-8.961
2019-02-28 1:25:00;43.418;-8.96
2019-02-28 1:40:00;43.41933;-8.95917
2019-02-28 1:55:00;43.42067;-8.9585
2019-02-28 2:11:00;43.42217;-8.95767
2019-02-28 2:26:00;43.42367;-8.95683
2019-02-28 2:41:00;43.425;-8.956
2019-02-28 2:56:00;43.4265;-8.955
2019-02-28 3:11:00;43.42817;-8.95383
2019-02-28 3:26:00;43.4295;-8.95267
2019-02-28 3:41:00;43.43117;-8.95133
2019-02-28 3:56:00;43.43283;-8.95017
2019-02-28 4:11:00;43.43433;-8.94867
2019-02-28 4:26:00;43.436;-8.94683
2019-02-28 4:42:00;43.43767;-8.94533
2019-02-28 4:57:00;43.43933;-8.94333
2019-02-28 5:12:00;43.441;-8.94133
2019-02-28 5:27:00;43.44233;-8.939
2019-02-28 5:42:00;43.44367;-8.93683
2019-02-28 5:57:00;43.44517;-8.9345
2019-02-28 6:12:00;43.44633;-8.93217
2019-02-28 6:30:00;43.44767;-8.92967
2019-02-28 6:46:00;43.44883;-8.92683
2019-02-28 7:01:00;43.44983;-8.924
2019-02-28 7:16:00;43.45083;-8.9215
2019-02-28 7:32:00;43.4515;-8.91883
2019-02-28 7:47:00;43.45233;-8.916
2019-02-28 8:02:00;43.453;-8.91333
2019-02-28 8:17:00;43.45383;-8.91067
2019-02-28 8:32:00;43.4545;-8.90817
2019-02-28 8:48:00;43.45517;-8.90567
2019-02-28 9:03:00;43.456;-8.903
2019-02-28 9:18:00;43.45667;-8.90017
2019-02-28 9:33:00;43.4575;-8.89767
2019-02-28 9:48:00;43.45833;-8.89517
2019-02-28 10:03:00;43.45933;-8.89267
2019-02-28 10:18:00;43.46033;-8.89033
2019-02-28 10:34:00;43.46133;-8.888
2019-02-28 10:49:00;43.46233;-8.8855
2019-02-28 11:04:00;43.46333;-8.88333
2019-02-28 11:19:00;43.46467;-8.881
2019-02-28 11:34:00;43.46567;-8.87817
2019-02-28 11:49:00;43.46683;-8.87583
2019-02-28 12:05:00;43.468;-8.87333
2019-02-28 12:20:00;43.46917;-8.87083
2019-02-28 12:35:00;43.47017;-8.86817
2019-02-28 12:50:00;43.47133;-8.86567
2019-02-28 13:05:00;43.47233;-8.863
2019-02-28 13:20:00;43.4735;-8.8605
2019-02-28 13:36:00;43.4745;-8.85783
2019-02-28 13:51:00;43.47567;-8.85517
2019-02-28 14:06:00;43.47667;-8.8525
2019-02-28 14:21:00;43.47767;-8.84967
2019-02-28 14:36:00;43.47817;-8.847
2019-02-28 14:51:00;43.47883;-8.844
2019-02-28 15:06:00;43.47917;-8.841
2019-02-28 15:22:00;43.4795;-8.838
2019-02-28 15:37:00;43.4795;-8.83483
2019-02-28 15:52:00;43.47967;-8.83167
2019-02-28 16:07:00;43.47967;-8.8285
2019-02-28 16:22:00;43.47967;-8.8255
2019-02-28 16:37:00;43.4795;-8.82233
2019-02-28 16:52:00;43.47933;-8.81917
2019-02-28 17:07:00;43.47917;-8.81617
2019-02-28 17:22:00;43.47867;-8.813
